IMU θ,L_ENC,R_ENC,X,Y,θ,FWD,TURN,MEAS_VEL_L,MEAS_VEL_R
 -0.001,   7319,  11625,  0.049,  0.560, -1.685,  0.035,  0.031,  0.000,  0.008
 -0.001,   7355,  11674,  0.048,  0.553, -1.671,  0.095,  0.027,  0.042,  0.068
 -0.001,   7440,  11782,  0.046,  0.537, -1.646,  0.140,  0.025,  0.093,  0.118
 -0.001,   7571,  11935,  0.045,  0.513, -1.623,  0.168,  0.021,  0.135,  0.152
 -0.001,   7735,  12114,  0.044,  0.484, -1.607,  0.189,  0.013,  0.152,  0.169
 -0.001,   7925,  12316,  0.043,  0.450, -1.594,  0.200, -0.002,  0.169,  0.178
 -0.001,   8130,  12530,  0.042,  0.415, -1.584,  0.206, -0.023,  0.169,  0.186
 -0.001,   8345,  12745,  0.042,  0.379, -1.584,  0.200, -0.036,  0.178,  0.178
 -0.001,   8553,  12953,  0.041,  0.344, -1.584,  0.186, -0.049,  0.178,  0.169
 -0.001,   8750,  13151,  0.041,  0.310, -1.583,  0.171, -0.059,  0.161,  0.161
 -0.001,   8936,  13331,  0.040,  0.279, -1.590,  0.156, -0.067,  0.144,  0.152
 -0.001,   9108,  13498,  0.040,  0.250, -1.595,  0.144, -0.073,  0.135,  0.127
 -0.001,   9266,  13651,  0.039,  0.224, -1.600,  0.129, -0.081,  0.135,  0.127
 -0.001,   9412,  13789,  0.038,  0.200, -1.609,  0.118, -0.085,  0.118,  0.110
 -0.001,   9544,  13915,  0.037,  0.178, -1.615,  0.104, -0.092,  0.110,  0.110
 -0.001,   9666,  14029,  0.036,  0.158, -1.624,  0.093, -0.097,  0.101,  0.093
 -0.001,   9780,  14130,  0.035,  0.140, -1.638,  0.083, -0.104,  0.101,  0.076
 -0.001,   9880,  14219,  0.034,  0.124, -1.649,  0.074, -0.111,  0.085,  0.068
 -0.001,   9972,  14299,  0.033,  0.110, -1.662,  0.065, -0.119,  0.068,  0.059
 -0.001,  10058,  14370,  0.031,  0.097, -1.678,  0.058, -0.126,  0.068,  0.059
 -0.001,  10136,  14430,  0.030,  0.085, -1.697,  0.052, -0.132,  0.059,  0.051
 -0.001,  10208,  14484,  0.029,  0.074, -1.717,  0.046, -0.138,  0.059,  0.042
 -0.001,  10277,  14533,  0.027,  0.065, -1.738,  0.000,  0.000,  0.051,  0.042
 -0.001,  10307,  14547,  0.026,  0.061, -1.755,  0.000,  0.000,  0.008,  0.000
 -0.001,  10318,  14552,  0.026,  0.060, -1.762,  0.000,  0.000,  0.017,  0.008
 -0.001,  10325,  14556,  0.026,  0.059, -1.765,  0.000,  0.000,  0.000,  0.008
 -0.001,  10329,  14557,  0.026,  0.058, -1.768,  0.000,  0.000,  0.000, -0.008
 -0.001,  10331,  14562,  0.026,  0.058, -1.765,  0.000,  0.000,  0.008, -0.008
 -0.001,  10331,  14566,  0.026,  0.057, -1.760,  0.000,  0.000,  0.000,  0.008
 -0.001,  10331,  14564,  0.026,  0.058, -1.763,  0.000,  0.000,  0.000, -0.008
 -0.001,  10332,  14568,  0.026,  0.057, -1.759,  0.000,  0.000,  0.000,  0.008
 -0.001,  10335,  14569,  0.026,  0.057, -1.762,  0.000,  0.000,  0.008,  0.000
 -0.001,  10339,  14572,  0.026,  0.056, -1.763,  0.000,  0.000,  0.000,  0.008
 -0.001,  10339,  14573,  0.026,  0.056, -1.762,  0.000,  0.000,  0.000,  0.000
 -0.001,  10342,  14576,  0.025,  0.056, -1.762,  0.000,  0.000,  0.008,  0.000
 -0.001,  10343,  14577,  0.025,  0.055, -1.762,  0.000,  0.000,  0.000,  0.000
 -0.001,  10347,  14580,  0.025,  0.055, -1.763,  0.000,  0.000,  0.000,  0.008
 -0.001,  10349,  14581,  0.025,  0.055, -1.764,  0.000,  0.000,  0.000,  0.000
 -0.001,  10351,  14581,  0.025,  0.054, -1.766,  0.000,  0.000,  0.000,  0.000
 -0.001,  10353,  14580,  0.025,  0.054, -1.769,  0.000,  0.000,  0.000, -0.008
